account_class,audit_id,metric,printed,value,cell_status,unit,source_file,table,printed_page,pdf_page,verification
inventory,13,mean_line,-0.7,-0.7,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,14,mean_line,-0.02,-0.02,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,22,mean_line,-0.39,-0.39,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,23,mean_line,-0.13,-0.13,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,24,mean_line,0.08,0.08,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,27,mean_line,-0.29,-0.29,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,32,mean_line,-0.02,-0.02,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,33,mean_line,-0.29,-0.29,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,56,mean_line,0.03,0.03,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,60,mean_line,0.14,0.14,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,13,mean_dollar,0.06,0.06,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,14,mean_dollar,0.03,0.03,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,22,mean_dollar,0.1,0.1,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,23,mean_dollar,0.1,0.1,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,24,mean_dollar,0.03,0.03,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,27,mean_dollar,0.2,0.2,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,32,mean_dollar,-0.01,-0.01,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,33,mean_dollar,0.24,0.24,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,56,mean_dollar,0.05,0.05,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,60,mean_dollar,0.19,0.19,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,13,sd_line,3.64,3.64,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,14,sd_line,0.34,0.34,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,22,sd_line,2.97,2.97,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,23,sd_line,1.98,1.98,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,24,sd_line,0.22,0.22,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,27,sd_line,2.81,2.81,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,32,sd_line,0.5,0.5,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,33,sd_line,2.17,2.17,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,56,sd_line,0.15,0.15,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,60,sd_line,0.5,0.5,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
